CNPJ;Nome;Tipo de Participante;Código CVM;Data;Status
08.326.274/0001-87;AFASA-AGUA FRIA AGROPEC SA;CIAS INCENTIVADAS REGISTRADAS;505900;28/09/2008;Cancelado
07.620.094/0001-40;AFLUENTE GERAÇÃO DE ENERGIA ELÉTRICA S.A.;CIAS ABERTAS;20150;24/11/2017;Cancelado
10.338.320/0001-00;AFLUENTE TRANSMISSÃO DE ENERGIA ELETRICA S/A;CIAS ABERTAS;22179;24/09/2010;Concedido
10.869.998/0001-19;AGANOR GASES E EQUIPAMENTOS SA;CIAS INCENTIVADAS REGISTRADAS;513466;05/10/2005;Cancelado
04.212.396/0001-91;AGASUS S.A.;CIAS ABERTAS;27324;03/10/2023;Concedido
61.573.796/0001-66;AGF BRASIL SEGUROS SA;CIAS ABERTAS;12343;30/05/2005;Cancelado
33.058.793/0001-59;AGGS INDS GRAFICAS SA;CIAS ABERTAS;175;04/05/1987;Cancelado
61.442.752/0001-05;AGIP DISTRIBUIDORA SA;CIAS ABERTAS;3921;14/01/2000;Cancelado
24.111.809/0001-59;AGIR AGRESTE INDL DE RAFIA SA;CIAS INCENTIVADAS REGISTRADAS;517070;14/02/2012;Cancelado
07.468.069/0001-93;AGISA AGROPAST E INDL SA;CIAS INCENTIVADAS REGISTRADAS;510580;28/09/2008;Cancelado
06.722.441/0001-83;AGNORD IND C CONF AGUIA NE SA;CIAS INCENTIVADAS REGISTRADAS;503487;14/02/2012;Cancelado
07.698.047/0001-10;AGRA EMPREENDIMENTOS IMOBILIÁRIOS S/A;CIAS ABERTAS;20664;28/05/2010;Cancelado
88.610.324/0001-92;AGRALE SA;CIAS ABERTAS;183;26/06/2000;Cancelado
11.040.082/0001-14;AGRE EMPREENDIMENTOS IMOBILIÁRIOS SA;CIAS ABERTAS;21911;19/07/2010;Cancelado
-;AGRENCO LIMITED;CIAS ESTRANGEIRAS;80080;16/05/2017;Cancelado
63.235.436/0001-80;AGRICOLA BEBEDOURO SA;CIAS INCENTIVADAS REGISTRADAS;515221;14/02/2012;Cancelado
13.719.224/0001-08;AGRICOLA BEIRA RIO SA;CIAS INCENTIVADAS REGISTRADAS;500720;21/11/2000;Cancelado
04.335.238/0001-29;AGRICOLA MISTA MARAJOARA SA  - AGRIMAR;CIAS INCENTIVADAS REGISTRADAS;518921;21/10/2009;Cancelado
15.144.603/0001-34;AGRICOLA NOVO HORIZONTE SA;CIAS INCENTIVADAS REGISTRADAS;512095;14/02/2012;Cancelado
