CNPJ;Nome;Tipo de Participante;Código CVM;Data;Status
08.331.878/0001-11;ARIZONA AGRO PASTORIL SA;CIAS INCENTIVADAS REGISTRADAS;517500;10/10/1997;Cancelado
12.803.540/0001-92;ARIZONA SA AGROINDL E PECUARIA;CIAS INCENTIVADAS REGISTRADAS;512710;14/02/2012;Cancelado
00.242.184/0001-04;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;CIAS ABERTAS;26069;26/07/2021;Concedido
15.109.747/0001-50;ARMAZENS GERAIS EMPR UNIAO SA;CIAS ABERTAS;515;08/03/1991;Cancelado
61.064.978/0001-01;ARNO SA;CIAS ABERTAS;523;16/05/2000;Cancelado
12.676.417/0001-58;AROEIRAS EMPREEND RURAIS SA;CIAS INCENTIVADAS REGISTRADAS;511790;28/09/2008;Cancelado
39.378.187/0001-05;AROSO HOTEIS E LAZER SA;CIAS INCENTIVADAS REGISTRADAS;514420;01/06/2017;Cancelado
07.063.068/0001-69;ARPASO AGROPEC SA;CIAS INCENTIVADAS REGISTRADAS;502170;28/09/2008;Cancelado
08.074.940/0001-37;ARPEL SA CALCADOS ARTEF COURO;CIAS INCENTIVADAS REGISTRADAS;512958;14/02/2012;Cancelado
09.507.195/0001-35;ARRECIFES HOT E TUR SA;CIAS INCENTIVADAS REGISTRADAS;502804;09/09/1999;Cancelado
08.872.319/0001-19;ARTBRAS SA-CARNES E DERIVADOS;CIAS INCENTIVADAS REGISTRADAS;501514;29/11/1997;Cancelado
08.567.190/0001-35;ARTECOLA NE SA INDS QUIMICAS;CIAS INCENTIVADAS REGISTRADAS;506257;16/07/1998;Cancelado
10.976.124/0001-60;ARTEFATOS PAPEL NE SA ARTEPE;CIAS ABERTAS;531;05/11/1986;Cancelado
07.126.683/0001-77;ARTEMISA AQUICULTURA SA;CIAS INCENTIVADAS REGISTRADAS;517887;13/11/2000;Cancelado
02.919.555/0001-67;ARTERIS S.A.;CIAS ABERTAS;19771;06/07/2005;Concedido
04.972.626/0001-10;ARTESANATO DE MADEIRA AM SA;CIAS INCENTIVADAS REGISTRADAS;508187;26/03/1992;Cancelado
92.189.356/0001-33;ARTHUR LANGE SA IND E COM;CIAS ABERTAS;574;04/01/2011;Cancelado
00.294.850/0001-40;ARUANA AGROPASTORIL SA;CIAS INCENTIVADAS REGISTRADAS;503215;30/12/1992;Cancelado
02.693.299/0001-32;ASA AGROINDL DE ALIM SA;CIAS INCENTIVADAS REGISTRADAS;508985;14/02/2012;Cancelado
09.359.927/0001-97;ASA BRANCA HOLDING S.A.;CIAS ABERTAS;26514;20/12/2021;Concedido
33.319.617/0001-23;ASBERIT SA;CIAS ABERTAS;582;18/03/1986;Cancelado
04.944.815/0001-80;ASO METAL SA;CIAS ABERTAS;590;06/07/1992;Cancelado
11.181.948/0001-07;ASSA ALIM SELECIONADOS SA;CIAS INCENTIVADAS REGISTRADAS;506206;28/09/2008;Cancelado
05.504.154/0001-34;ASSUNCAO IND E COM SA;CIAS INCENTIVADAS REGISTRADAS;511218;23/10/1998;Cancelado
75.315.333/0001-09;ATACADÃO S.A.;CIAS ABERTAS;24171;18/07/2017;Concedido
48.011.688/0001-31;ATHANASE SARANTOPOULOS H T SA;CIAS INCENTIVADAS REGISTRADAS;507440;16/11/1998;Cancelado
31.701.408/0001-14;ATHENA SAÚDE BRASIL S.A.;CIAS ABERTAS;25810;24/11/2022;Cancelado
04.932.729/0001-57;ATIAIA PEC SA;CIAS INCENTIVADAS REGISTRADAS;510688;24/10/2012;Cancelado
04.932.729/0001-57;ATIAIA PEC SA;CIAS INCENTIVADAS REGISTRADAS;520993;25/11/2019;Cancelado
13.720.918/0001-57;ATIVOS BRASILEIROS S.A.;CIAS ABERTAS;22918;07/01/2016;Cancelado
02.445.817/0001-07;ATL - ALGAR TELECOM LESTE S.A.;CIAS ABERTAS;18252;10/07/2003;Cancelado
01.431.728/0001-30;ATLÂNTICA EMPREEND.IMOBILIÁRIOS S/A;CIAS ABERTAS;17990;09/12/2002;Cancelado
12.610.165/0001-64;ATLETAS BRASILEIROS S/A;CIAS ABERTAS;22934;20/09/2017;Cancelado
04.032.433/0001-80;ATMA PARTICIPACOES S.A. EM RECUPERACAO JUDICIAL;CIAS ABERTAS;19100;29/10/2001;Concedido
61.510.996/0001-70;ATMA SA;CIAS ABERTAS;604;22/03/2005;Cancelado
00.886.257/0001-92;ATMOSFERA GESTÃO E HIGIENIZAÇÃO DE TÊXTEIS SA;CIAS ABERTAS;20591;20/04/2009;Cancelado
00.359.742/0001-08;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;CIAS ABERTAS;15423;28/02/1996;Concedido
03.453.981/0001-10;AUFERVILLE TRUST SA;CIAS ABERTAS;18562;18/03/2008;Cancelado
08.213.823/0001-07;AURA ALMAS MINERAÇÃO S.A.;CIAS ABERTAS;26590;06/01/2022;Concedido
-;AURA MINERALS INC;CIAS ESTRANGEIRAS;80187;15/06/2020;Concedido
-;AURA MINERALS INC;CIAS ESTRANGEIRAS;80187;09/12/2021;Cancelado
28.594.234/0001-23;AUREN ENERGIA S.A;CIAS ABERTAS;26620;25/02/2022;Concedido
00.160.436/0001-48;AUSTRAL INVESTIMENTOS SA;CIAS ABERTAS;14656;13/01/2003;Cancelado
47.709.365/0001-53;AUTEL SA TELECOMUNICAÇOES;CIAS ABERTAS;14419;07/08/2007;Cancelado
28.519.932/0001-64;AUTOMATICA TECNOLOGIA SA;CIAS INCENTIVADAS REGISTRADAS;514470;14/07/1998;Cancelado
01.036.698/0001-68;AUTOMATON NORTE IND PLAST SA;CIAS INCENTIVADAS REGISTRADAS;505307;28/09/2008;Cancelado
61.618.237/0001-25;AUTOMETAL AGROPEC SA;CIAS INCENTIVADAS REGISTRADAS;516805;09/03/2015;Cancelado
59.104.513/0001-95;AUTOMETAL S/A;CIAS ABERTAS;22381;14/10/2014;Cancelado
43.513.237/0001-89;AUTOMOB S.A.;CIAS ABERTAS;27413;23/01/2024;Concedido
09.326.342/0001-70;AUTOPISTA FERNÃO DIAS SA;CIAS ABERTAS;21989;29/03/2010;Concedido
09.324.949/0001-11;AUTOPISTA FLUMINENSE SA;CIAS ABERTAS;22004;29/03/2010;Concedido
09.313.969/0001-97;AUTOPISTA LITORAL SUL;CIAS ABERTAS;21997;29/03/2010;Concedido
09.325.109/0001-73;AUTOPISTA PLANALTO SUL SA;CIAS ABERTAS;21970;29/03/2010;Concedido
09.336.431/0001-06;AUTOPISTA REGIS BITTENCOURT SA;CIAS ABERTAS;21962;29/03/2010;Concedido
40.281.347/0001-74;AUTOTRAC COMERCIO E TELECOMUNICAÇÕES;CIAS ABERTAS;20311;03/07/2009;Cancelado
02.679.185/0001-38;AUTOVIAS S/A;CIAS ABERTAS;21822;16/09/2019;Cancelado
51.996.601/0001-37;AUXILIAR LEASING SA ARR MERC;CIAS ABERTAS;655;30/01/1991;Cancelado
46.047.288/0001-50;AUXILIAR SA PARTICIPACOES;CIAS ABERTAS;11924;09/08/2005;Cancelado
27.956.690/0001-03;AUZZA SECURITIZADORA S. A.;CIAS ABERTAS;24333;19/01/2018;Concedido
15.011.696/0001-29;AVAL SECURITIZADORA DE CREDITOS S.A.;CIAS ABERTAS;23973;30/11/2017;Cancelado
54.649.819/0001-03;AVARA SA;CIAS ABERTAS;12483;11/10/1989;Cancelado
09.055.120/0001-60;AVARANDADO FORTE AGROPEC PI SA;CIAS INCENTIVADAS REGISTRADAS;500534;14/02/2012;Cancelado
09.055.120/0001-60;AVARANDADO FORTE AGROPEC PI SA;CIAS INCENTIVADAS REGISTRADAS;521205;13/09/2023;Cancelado
07.216.906/0001-97;AVARANDADO FORTE AGROPEC SA;CIAS INCENTIVADAS REGISTRADAS;500542;14/02/2012;Cancelado
07.216.906/0001-97;AVARANDADO FORTE AGROPEC SA;CIAS INCENTIVADAS REGISTRADAS;521159;04/01/2023;Cancelado
05.645.866/0001-73;AVEMAR AVICULTURA E RACAO SA;CIAS INCENTIVADAS REGISTRADAS;514659;28/09/2008;Cancelado
63.766.497/0001-73;AVENORTE INDS ALIMENTICIAS SA;CIAS INCENTIVADAS REGISTRADAS;514276;14/02/2012;Cancelado
06.039.150/0001-95;AVIANE AVES INDUST DO NE;CIAS INCENTIVADAS REGISTRADAS;500267;14/02/2012;Cancelado
09.462.441/0001-80;AVIBOSA-AVICULT E BOVINCULT SA;CIAS INCENTIVADAS REGISTRADAS;507377;14/02/2012;Cancelado
10.980.696/0001-13;AVIC-ALIMENTOS SELECIONADOS SA;CIAS INCENTIVADAS REGISTRADAS;505951;28/09/2008;Cancelado
12.992.822/0001-85;AVICOCO DO NE SA;CIAS INCENTIVADAS REGISTRADAS;515000;18/01/2008;Cancelado
09.357.161/0001-01;AVICOLA DAGEMA S/A;CIAS INCENTIVADAS REGISTRADAS;511803;31/05/2004;Cancelado
04.072.815/0001-37;AVINEL SA  - AVICULTURA INDUSTRIAL;CIAS INCENTIVADAS REGISTRADAS;519332;03/09/2012;Cancelado
02.863.035/0001-80;AXXOR INDÚSTRIA MECÂNICA S/A;CIAS INCENTIVADAS REGISTRADAS;518778;27/12/2007;Cancelado
31.709.272/0001-99;AZECYP HOTELARIA E TURISMO SA;CIAS INCENTIVADAS REGISTRADAS;514780;14/02/2012;Cancelado
31.709.272/0001-99;AZECYP HOTELARIA E TURISMO SA;CIAS INCENTIVADAS REGISTRADAS;520659;28/09/2017;Cancelado
61.351.532/0001-68;AZEVEDO & TRAVASSOS SA;CIAS ABERTAS;11975;20/08/1984;Concedido
09.305.994/0001-29;AZUL S.A.;CIAS ABERTAS;24112;07/04/2017;Concedido
04.937.843/0001-70;AZULEJOS DO PARA SA;CIAS INCENTIVADAS REGISTRADAS;503924;30/04/1999;Cancelado
11.029.972/0001-25;B D MOVEIS SA;CIAS INCENTIVADAS REGISTRADAS;505730;14/02/2012;Cancelado
09.346.601/0001-25;B3 S.A. - BRASIL, BOLSA, BALCÃO;CIAS ABERTAS;21610;11/08/2008;Concedido
12.565.057/0001-17;BACALACTE-BACABAL IND LATIC SA;CIAS INCENTIVADAS REGISTRADAS;513270;28/09/2008;Cancelado
08.023.558/0001-02;BACATUBA AGROPASTORIL SA;CIAS INCENTIVADAS REGISTRADAS;500585;14/02/2012;Cancelado
15.195.464/0001-78;BACRAFT SA INDUSTRIA DE PAPEL;CIAS ABERTAS;680;12/05/2006;Cancelado
04.781.143/0001-39;BAESA-ENERGETICA BARRA GRANDE SA;CIAS ABERTAS;19607;29/04/2016;Cancelado
13.605.696/0001-21;BAHEMA AGROPECUARIA SA;CIAS ABERTAS;698;30/08/1991;Cancelado
45.987.245/0001-92;BAHEMA EDUCACAO S.A.;CIAS ABERTAS;701;02/01/1974;Concedido
96.832.365/0001-51;BAHEMA EQUIPAMENTOS SA;CIAS ABERTAS;18155;31/10/2003;Cancelado
15.258.023/0001-78;BAHIA OTHON PALACE HOTEL SA;CIAS ABERTAS;710;26/10/1984;Cancelado
01.554.970/0001-00;BAHIA TRUST DE RECEBIVEIS;CIAS ABERTAS;16098;28/10/1999;Cancelado
24.073.470/0001-43;BAISA BAHIA AGRICULTURA SA;CIAS INCENTIVADAS REGISTRADAS;505234;14/02/2012;Cancelado
11.124.278/0001-97;BAIXADAO AGROPEC SA;CIAS INCENTIVADAS REGISTRADAS;502340;14/02/2012;Cancelado
11.124.278/0001-97;BAIXADAO AGROPEC SA;CIAS INCENTIVADAS REGISTRADAS;520861;17/12/2018;Cancelado
09.462.852/0001-75;BALADARE PARTICIPAÇÕES S/A;CIAS ABERTAS;21571;27/05/2010;Cancelado
76.659.101/0001-30;BAMERINDUS SA CRED IMOBILIARIO;CIAS ABERTAS;752;27/11/1987;Cancelado
75.170.076/0001-64;BAMERINDUS SA FINANC CRED INV;CIAS ABERTAS;760;09/05/1989;Cancelado
76.543.156/0001-80;BAMERINDUS SA PARTICIPAÇÕES E EMPREENDIMENTOS - EM LIQUIDAÇÃO EXTRAJUDICIAL;CIAS ABERTAS;744;09/01/2007;Cancelado
08.188.047/0001-32;BANAGRO SA BAND AGROPEC SA;CIAS INCENTIVADAS REGISTRADAS;506907;14/01/1993;Cancelado
28.195.667/0001-06;BANCO ABC BRASIL S/A;CIAS ABERTAS;20958;23/07/2007;Concedido
10.664.513/0001-50;BANCO AGIBANK S.A.;CIAS ABERTAS;24465;18/01/2019;Cancelado
24.986.770/0001-13;BANCO AGRIMISA SA;CIAS ABERTAS;779;22/03/2005;Cancelado
60.770.336/0001-65;BANCO ALFA DE INVESTIMENTO S.A.;CIAS ABERTAS;1384;28/03/2024;Cancelado
33.870.163/0001-84;BANCO ALVORADA S.A.;CIAS ABERTAS;15512;28/10/2003;Cancelado
76.543.115/0001-94;BANCO BAMERINDUS BRASIL SA;CIAS ABERTAS;825;18/07/2006;Cancelado
63.090.609/0001-19;BANCO BANDEIRANTES DE INVESTIMENTOS SA;CIAS ABERTAS;833;31/10/2001;Cancelado
15.142.490/0001-38;BANCO BANEB SA;CIAS ABERTAS;1066;01/12/2000;Cancelado
76.492.172/0001-91;BANCO BANESTADO SA;CIAS ABERTAS;1180;29/08/2003;Cancelado
10.781.532/0001-67;BANCO BANORTE SA EM LIQUIDAÇÃO EXTRAJUDICIAL;CIAS ABERTAS;1473;18/07/2006;Cancelado
60.898.723/0001-81;BANCO BCN S.A.;CIAS ABERTAS;957;28/07/1998;Cancelado
04.562.120/0001-33;BANCO BEA SA;CIAS ABERTAS;1139;30/01/2003;Cancelado
01.540.541/0001-75;BANCO BEG S.A.;CIAS ABERTAS;1074;29/08/2003;Cancelado
15.124.464/0001-87;BANCO BESA SA;CIAS ABERTAS;1244;10/04/2023;Cancelado
61.186.680/0001-74;BANCO BMG S/A;CIAS ABERTAS;1716;14/03/1994;Cancelado
61.186.680/0001-74;BANCO BMG S/A;CIAS ABERTAS;24600;17/12/2018;Concedido
33.485.541/0001-06;BANCO BOAVISTA INTERATLÂNTICO S.A.;CIAS ABERTAS;850;08/12/1999;Cancelado
15.114.366/0001-69;BANCO BOCOM BBM S.A.;CIAS ABERTAS;930;26/07/1993;Cancelado
71.027.866/0001-34;BANCO BONSUCESSO S.A.;CIAS ABERTAS;20869;16/10/2008;Cancelado
06.271.464/0001-19;BANCO BRADESCO BBI S.A.;CIAS ABERTAS;1163;06/08/2004;Cancelado
33.147.315/0001-15;BANCO BRADESCO BERJ S.A.;CIAS ABERTAS;1201;11/06/2012;Cancelado
60.746.948/0001-12;BANCO BRADESCO S.A.;CIAS ABERTAS;906;20/07/1977;Concedido
30.306.294/0001-45;BANCO BTG PACTUAL S/A;CIAS ABERTAS;22616;10/11/2011;Concedido
33.349.358/0001-83;BANCO CACIQUE SA;CIAS ABERTAS;11380;27/12/1988;Cancelado
07.814.999/0001-51;BANCO COMERCIAL BANCESA S.A.;CIAS ABERTAS;1031;22/03/2005;Cancelado
61.230.165/0001-44;BANCO COMERCIAL E DE INVESTIMENTO SUDAMERIS S.A.;CIAS ABERTAS;787;24/08/2000;Cancelado
21.562.962/0001-04;BANCO CREDITO REAL DE MG SA;CIAS ABERTAS;949;30/06/1998;Cancelado
52.940.350/0001-31;BANCO CREFISUL S.A.;CIAS ABERTAS;795;09/05/2006;Cancelado
04.902.979/0001-44;BANCO DA AMAZÔNIA S.A.;CIAS ABERTAS;922;20/07/1977;Concedido
62.232.889/0001-90;BANCO DAYCOVAL S.A.;CIAS ABERTAS;20796;27/06/2007;Concedido
10.866.788/0001-77;BANCO DE PERNAMBUCO S.A. - BANDEPE;CIAS ABERTAS;1090;24/03/2003;Cancelado
15.163.587/0001-27;BANCO DESENV ESTADO BAHIA SA;CIAS ABERTAS;981;04/11/1999;Cancelado
00.000.000/0001-91;BANCO DO BRASIL S.A.;CIAS ABERTAS;1023;20/07/1977;Concedido
03.468.907/0001-78;BANCO DO ESTADO DE MATO GROSSO S.A.;CIAS ABERTAS;12467;09/01/2007;Cancelado
83.876.003/0001-10;BANCO DO ESTADO DE SANTA CATARINA S/A - BESC;CIAS ABERTAS;1104;30/09/2008;Cancelado
61.411.633/0001-87;BANCO DO ESTADO DE SAO PAULO S.A. - BANESPA;CIAS ABERTAS;1112;31/08/2006;Cancelado
13.009.717/0001-46;BANCO DO ESTADO DE SERGIPE SA;CIAS ABERTAS;1120;20/07/1977;Concedido
04.913.711/0001-08;BANCO DO ESTADO DO PARÁ S/A.;CIAS ABERTAS;1171;20/07/1977;Concedido
06.833.131/0001-36;BANCO DO ESTADO DO PIAUÍ S.A. - BEP;CIAS ABERTAS;1198;28/11/2008;Cancelado
92.702.067/0001-96;BANCO DO ESTADO DO RIO GRANDE DO SUL SA;CIAS ABERTAS;1210;20/07/1977;Concedido
07.237.373/0001-20;BANCO DO NORDESTE DO BRASIL SA;CIAS ABERTAS;1228;20/07/1977;Concedido
22.531.842/0001-02;BANCO DO PROGRESSO S.A.;CIAS ABERTAS;1236;09/01/2007;Cancelado
52.940.319/0001-09;BANCO FENICIA SA;CIAS ABERTAS;1252;06/11/1995;Cancelado
33.098.518/0001-69;BANCO FININVEST SA;CIAS ABERTAS;6092;12/06/1998;Cancelado
53.518.684/0001-84;BANCO HSBC S.A.;CIAS ABERTAS;12521;01/02/2000;Cancelado
53.518.684/0001-84;BANCO HSBC S.A.;CIAS ABERTAS;19755;14/09/2015;Cancelado
31.895.683/0001-16;BANCO INDUSTRIAL DO BRASIL;CIAS ABERTAS;21377;14/11/2018;Cancelado
00.416.968/0001-01;BANCO INTER S.A.;CIAS ABERTAS;24406;02/12/2022;Cancelado
92.723.550/0001-57;BANCO ITABANCO S/A;CIAS ABERTAS;914;08/03/1996;Cancelado
17.298.092/0001-30;BANCO ITAU BBA  S.A.;CIAS ABERTAS;1082;29/08/2003;Cancelado
49.925.225/0001-48;BANCO ITAULEASING S.A.;CIAS ABERTAS;3590;07/11/2007;Cancelado
17.184.037/0001-10;BANCO MERCANTIL BRASIL SA;CIAS ABERTAS;1325;20/07/1977;Concedido
34.169.557/0001-72;BANCO MERCANTIL DE INVESTIMENTOS S.A.;CIAS ABERTAS;1309;20/07/1977;Concedido
61.065.421/0001-95;BANCO MERCANTIL DE SÃO PAULO SA;CIAS ABERTAS;1317;30/09/2003;Cancelado
30.723.886/0001-62;BANCO MODAL S.A.;CIAS ABERTAS;25755;31/07/2023;Cancelado
17.157.777/0001-67;BANCO NACIONAL S.A. - EM LIQUIDAÇÃO EXTRAJUDICIAL;CIAS ABERTAS;1350;20/07/1977;Concedido
43.073.394/0001-10;BANCO NOSSA CAIXA S/A;CIAS ABERTAS;19828;30/11/2009;Cancelado
59.285.411/0001-13;BANCO PAN SA;CIAS ABERTAS;21199;12/11/2007;Concedido
-;BANCO PATAGONIA SA;CIAS ESTRANGEIRAS;80063;15/10/2019;Cancelado
62.144.175/0001-20;BANCO PINE S/A;CIAS ABERTAS;20567;27/03/2007;Concedido
62.307.848/0001-15;BANCO RCI BRASIL S.A.;CIAS ABERTAS;21466;29/04/2008;Concedido
17.156.514/0001-33;BANCO REAL SA;CIAS ABERTAS;1392;28/04/2000;Cancelado
58.160.789/0001-28;BANCO SAFRA S/A;CIAS ABERTAS;1406;27/12/1990;Cancelado
90.400.888/0001-42;BANCO SANTANDER (BRASIL) S.A.;CIAS ABERTAS;20532;02/03/2007;Concedido
60.700.556/0001-12;BANCO SANTANDER NOROESTE SA;CIAS ABERTAS;1368;30/06/1999;Cancelado
33.517.640/0001-22;BANCO SANTANDER S.A.;CIAS ABERTAS;868;16/12/1992;Cancelado
-;BANCO SANTANDER S.A.;CIAS ESTRANGEIRAS;80160;14/11/2018;Cancelado
-;BANCO SANTANDER, S.A. (ESPANHA);CIAS ESTRANGEIRAS;80160;14/11/2018;Cancelado
60.889.128/0001-80;BANCO SOFISA SA;CIAS ABERTAS;20680;24/11/2016;Cancelado
60.942.638/0001-73;BANCO SUDAMERIS BRASIL SA;CIAS ABERTAS;1422;25/05/2007;Cancelado
00.086.413/0001-30;BANCO ÚNICO S.A.;CIAS ABERTAS;1015;09/08/1990;Cancelado
61.024.352/0001-71;BANCO VOITER S.A.;CIAS ABERTAS;20885;10/02/2021;Cancelado
63.081.004/0001-61;BANCOCIDADE LEASING ARR MERC SA;CIAS ABERTAS;7994;18/11/2003;Cancelado
01.210.645/0001-11;BANEB LEASING SA ARREND MERC;CIAS ABERTAS;15628;20/06/2000;Cancelado
62.527.346/0001-08;BANESTADO LEASING SA ARR MERC;CIAS ABERTAS;12017;22/02/2001;Cancelado
76.550.748/0001-20;BANESTADO SA CRED FIN E INV;CIAS ABERTAS;1457;12/09/1989;Cancelado
39.813.605/0001-37;BANESTES LEASING SA ARR MERC;CIAS ABERTAS;15245;01/03/2005;Cancelado
28.127.603/0001-78;BANESTES SA BANCO DO ESTADO DO ESPIRITO SANTO;CIAS ABERTAS;1155;20/07/1977;Concedido
33.550.104/0001-29;BANEX S/A - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;CIAS ABERTAS;8176;14/11/2007;Cancelado
07.216.674/0001-77;BANFORT-BANCO FORTALEZA S.A.;CIAS ABERTAS;1376;09/01/2007;Cancelado
92.791.813/0001-65;BANKAMERICA COMERCIAL E PARTICIPAÇÕES S. A.;CIAS ABERTAS;8990;14/12/1989;Cancelado
01.377.222/0001-90;BANKBOSTON COMPANHIA HIPOTECÁRIA;CIAS ABERTAS;16500;26/01/2004;Cancelado
11.558.657/0001-95;BANORTE BANCO INVEST SA;CIAS ABERTAS;1465;09/08/1990;Cancelado
10.781.524/0001-10;BANORTE CRED FIN E INVEST SA;CIAS ABERTAS;1481;09/08/1990;Cancelado
10.925.675/0001-03;BANORTE CRED IMOBILIARIO SA;CIAS ABERTAS;1490;09/08/1990;Cancelado
34.260.158/0001-12;BANORTE LEASING ARRENDAMENTO MERCANTIL SA EM LIQUIDAÇÃO EXTRAJUDICIAL;CIAS ABERTAS;14001;18/07/2006;Cancelado
92.721.232/0001-57;BANRISUL ARMAZENS GERAIS SA;CIAS ABERTAS;15822;18/10/1996;Concedido
92.692.979/0001-24;BANRISUL S.A.  ADMINISTRADORA DE CONSÓRCIOS;CIAS ABERTAS;15130;17/12/2010;Cancelado
92.934.215/0001-06;BANRISUL SOLUÇÕES EM PAGAMENTOS S.A. - INSTITUIÇÃO DE PAGAMENTO;CIAS ABERTAS;24554;07/11/2022;Cancelado
61.578.159/0001-82;BANYLSA TECELAGEM DO BRASIL SA;CIAS ABERTAS;1503;17/06/1993;Cancelado
06.030.043/0001-04;BAPESA   BACABINHA AGROPEC SA;CIAS INCENTIVADAS REGISTRADAS;518557;15/06/2007;Cancelado
10.809.341/0001-66;BAPTISTA DA SILVA PARTICIPAÇÕES E PROJETOS SA;CIAS ABERTAS;12033;04/01/2010;Cancelado
39.406.590/0001-92;BARAO AGROPECUARIA SA;CIAS INCENTIVADAS REGISTRADAS;515094;14/02/2012;Cancelado
24.093.221/0001-10;BARAO DE GRAJAU AGROINDL SA;CIAS INCENTIVADAS REGISTRADAS;502642;14/02/2012;Cancelado
24.093.221/0001-10;BARAO DE GRAJAU AGROINDL SA;CIAS INCENTIVADAS REGISTRADAS;520284;17/02/2016;Cancelado
49.033.814/0001-11;BARBER GREENE BRASIL INDUSTRIA E COMERCIO SA;CIAS ABERTAS;1511;22/03/2005;Cancelado
60.851.615/0001-53;BARDELLA S.A. INDS MECANICAS - EM RECUPERAÇÃO JUDICIAL;CIAS ABERTAS;1520;26/11/1969;Concedido
10.608.405/0001-60;BARI SECURITIZADORA S.A.;CIAS ABERTAS;21920;01/06/2022;Cancelado
15.723.497/0001-43;BARONESA AGROPASTORIL SA;CIAS INCENTIVADAS REGISTRADAS;505960;28/09/2008;Cancelado
09.003.047/0001-83;BARRA DO CORDA AGROPEC SA;CIAS INCENTIVADAS REGISTRADAS;501476;14/02/2012;Cancelado
09.003.047/0001-83;BARRA DO CORDA AGROPEC SA;CIAS INCENTIVADAS REGISTRADAS;520349;21/03/2016;Cancelado
08.984.437/0001-19;BARRA SA AGRICULTURA E PEC;CIAS INCENTIVADAS REGISTRADAS;501204;14/02/2012;Cancelado
33.664.228/0001-35;BARRALCOOL USINA DA BARRA SA;CIAS INCENTIVADAS REGISTRADAS;512320;26/05/1995;Cancelado
15.125.339/0001-91;BARRETTO ARAUJO PROD CACAU SA;CIAS ABERTAS;11894;04/01/2010;Cancelado
35.082.277/0001-95;BASE SECURITIZADORA DE CRÉDITOS IMOBILIÁRIOS S.A.;CIAS ABERTAS;24970;30/06/2022;Cancelado
09.462.140/0001-56;BASEL PARTICIPAÇÕES S/A;CIAS ABERTAS;21601;22/09/2017;Cancelado
48.539.407/0001-18;BASF BRAS SA INDS QUIMICAS;CIAS ABERTAS;1538;24/03/1992;Cancelado
61.064.937/0001-15;BATES SA;CIAS ABERTAS;1546;29/11/1989;Cancelado
61.374.161/0001-30;BAUMER SA;CIAS ABERTAS;1562;20/05/1970;Concedido
17.344.597/0001-94;BB SEGURIDADE PARTICIPAÇÕES S.A.;CIAS ABERTAS;23159;25/04/2013;Concedido
13.004.577/0001-13;BBC ADM E PARTICIPAÇÃO-EM LIQUIDAÇÃO ORDINÁRIA;CIAS ABERTAS;892;18/07/2006;Cancelado
37.623.907/0001-17;BBC LEASING ARREND MERCANTIL-EM LIQUIDAÇÃO ORDINÁRIA;CIAS ABERTAS;14800;18/07/2006;Cancelado
31.546.476/0001-56;BB-LEASING SA ARRENDAMENTO MERCANTIL;CIAS ABERTAS;13935;11/09/2006;Cancelado
01.107.327/0001-20;BBM LOGÍSTICA S.A.;CIAS ABERTAS;24660;27/02/2019;Concedido
00.162.760/0001-03;BBV LEASING BRASIL SA ARR MERC;CIAS ABERTAS;14842;01/07/1999;Cancelado
19.276.528/0001-16;BCBF PARTICIPAÇÕES S.A.;CIAS ABERTAS;24775;25/05/2023;Cancelado
60.885.100/0001-74;BCO AUXILIAR SA;CIAS ABERTAS;809;30/01/1991;Cancelado
76.484.575/0001-99;BCO BAMERINDUS INVS SA;CIAS ABERTAS;817;10/11/1988;Cancelado
60.885.092/0001-66;BCO BRADESCO INVESTIMENTO SA;CIAS ABERTAS;884;26/11/1992;Cancelado
33.132.044/0001-24;BCO CEDULA SA;CIAS ABERTAS;2380;22/09/1992;Cancelado
13.007.703/0001-93;BCO CREDIPLAN SA;CIAS ABERTAS;973;10/07/1996;Cancelado
61.100.046/0001-77;BCO INV AMERICA SUL SA;CIAS ABERTAS;990;19/05/1989;Cancelado
17.180.399/0001-32;BCO MAISONNAVE DE INV SA;CIAS ABERTAS;1295;10/01/1989;Cancelado
33.222.241/0001-34;BCO NACIONAL INVS SA;CIAS ABERTAS;1341;18/06/1991;Cancelado
61.391.090/0001-83;BCO SAVENA SA;CIAS ABERTAS;1414;28/12/1984;Cancelado
87.125.019/0001-42;BCO SUL BRASILEIRO SA;CIAS ABERTAS;1430;10/06/1985;Cancelado
40.432.544/0001-47;BCP S/A;CIAS ABERTAS;18600;18/06/2004;Cancelado
92.691.328/0001-10;BCR BCO CREDITO REAL SA;CIAS ABERTAS;965;08/02/1999;Cancelado
23.464.852/0001-35;BEATRIZ TÊXTIL S/A;CIAS INCENTIVADAS REGISTRADAS;504521;24/10/2012;Cancelado
16.168.460/0001-63;BEIRADA AGROPEC SA;CIAS INCENTIVADAS REGISTRADAS;512923;14/02/2012;Cancelado
13.666.599/0001-49;BELAP AGROPEC SA;CIAS INCENTIVADAS REGISTRADAS;508438;28/03/1990;Concedido
01.608.571/0001-76;BELAPART SA;CIAS ABERTAS;16233;26/05/2017;Cancelado
11.571.833/0001-29;BELASA-BELO JARDIM AVES SA;CIAS INCENTIVADAS REGISTRADAS;507059;14/02/2012;Cancelado
